"TIME","GEO","NRG_BAL","SIEC","UNIT","Value","Flag and Footnotes"
"2008","Ukraine","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
"2008","Georgia","Inland consumption - calculated","Geothermal","Terajoule",":",""
"2008","Georgia","Inland consumption - calculated","Solar thermal","Terajoule",":",""
"2008","Georgia","Inland consumption - calculated","Primary solid biofuels","Terajoule",":",""
"2008","Georgia","Inland consumption - calculated","Biogases","Terajoule",":",""
"2008","Georgia","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
"2009","European Union - 28 countries","Inland consumption - calculated","Geothermal","Terajoule","229 149.126",""
"2009","European Union - 28 countries","Inland consumption - calculated","Solar thermal","Terajoule","55 231.825",""
"2009","European Union - 28 countries","Inland consumption - calculated","Primary solid biofuels","Terajoule","3 407 476.494",""
"2009","European Union - 28 countries","Inland consumption - calculated","Biogases","Terajoule","313 816.051",""
"2009","European Union - 28 countries","Inland consumption - calculated","Renewable municipal waste","Terajoule","312 434.934",""
"2009","Euro area (19 countries)","Inland consumption - calculated","Geothermal","Terajoule","221 759.126",""
"2009","Euro area (19 countries)","Inland consumption - calculated","Solar thermal","Terajoule","51 851.825",""
"2009","Euro area (19 countries)","Inland consumption - calculated","Primary solid biofuels","Terajoule","2 234 817.494",""
"2009","Euro area (19 countries)","Inland consumption - calculated","Biogases","Terajoule","222 736.051",""
"2009","Euro area (19 countries)","Inland consumption - calculated","Renewable municipal waste","Terajoule","239 961.934",""
"2009","Belgium","Inland consumption - calculated","Geothermal","Terajoule","170.000",""
"2009","Belgium","Inland consumption - calculated","Solar thermal","Terajoule","464.000",""
"2009","Belgium","Inland consumption - calculated","Primary solid biofuels","Terajoule","63 599.000",""
"2009","Belgium","Inland consumption - calculated","Biogases","Terajoule","5 248.000",""
"2009","Belgium","Inland consumption - calculated","Renewable municipal waste","Terajoule","9 920.000",""
"2009","Bulgaria","Inland consumption - calculated","Geothermal","Terajoule","1 368.000",""
"2009","Bulgaria","Inland consumption - calculated","Solar thermal","Terajoule",":",""
"2009","Bulgaria","Inland consumption - calculated","Primary solid biofuels","Terajoule","31 644.000",""
"2009","Bulgaria","Inland consumption - calculated","Biogases","Terajoule","14.000",""
"2009","Bulgaria","Inland consumption - calculated","Renewable municipal waste","Terajoule","244.000",""
"2009","Czechia","Inland consumption - calculated","Geothermal","Terajoule",":",""
"2009","Czechia","Inland consumption - calculated","Solar thermal","Terajoule","266.000",""
"2009","Czechia","Inland consumption - calculated","Primary solid biofuels","Terajoule","92 825.000",""
"2009","Czechia","Inland consumption - calculated","Biogases","Terajoule","5 440.000",""
"2009","Czechia","Inland consumption - calculated","Renewable municipal waste","Terajoule","2 230.000",""
"2009","Denmark","Inland consumption - calculated","Geothermal","Terajoule","241.000",""
"2009","Denmark","Inland consumption - calculated","Solar thermal","Terajoule","591.000",""
"2009","Denmark","Inland consumption - calculated","Primary solid biofuels","Terajoule","85 252.000",""
"2009","Denmark","Inland consumption - calculated","Biogases","Terajoule","4 171.000",""
"2009","Denmark","Inland consumption - calculated","Renewable municipal waste","Terajoule","21 639.000",""
"2009","Germany (until 1990 former territory of the FRG)","Inland consumption - calculated","Geothermal","Terajoule","3 054.000",""
"2009","Germany (until 1990 former territory of the FRG)","Inland consumption - calculated","Solar thermal","Terajoule","19 008.000",""
"2009","Germany (until 1990 former territory of the FRG)","Inland consumption - calculated","Primary solid biofuels","Terajoule","402 170.000",""
"2009","Germany (until 1990 former territory of the FRG)","Inland consumption - calculated","Biogases","Terajoule","147 472.000",""
"2009","Germany (until 1990 former territory of the FRG)","Inland consumption - calculated","Renewable municipal waste","Terajoule","88 241.000",""
"2009","Estonia","Inland consumption - calculated","Geothermal","Terajoule",":",""
"2009","Estonia","Inland consumption - calculated","Solar thermal","Terajoule",":",""
"2009","Estonia","Inland consumption - calculated","Primary solid biofuels","Terajoule","29 118.000",""
"2009","Estonia","Inland consumption - calculated","Biogases","Terajoule","105.000",""
"2009","Estonia","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
"2009","Ireland","Inland consumption - calculated","Geothermal","Terajoule",":",""
"2009","Ireland","Inland consumption - calculated","Solar thermal","Terajoule","225.895",""
"2009","Ireland","Inland consumption - calculated","Primary solid biofuels","Terajoule","7 852.654",""
"2009","Ireland","Inland consumption - calculated","Biogases","Terajoule","2 323.707",""
"2009","Ireland","Inland consumption - calculated","Renewable municipal waste","Terajoule","213.772",""
"2009","Greece","Inland consumption - calculated","Geothermal","Terajoule","670.000",""
"2009","Greece","Inland consumption - calculated","Solar thermal","Terajoule","7 632.000",""
"2009","Greece","Inland consumption - calculated","Primary solid biofuels","Terajoule","33 445.000",""
"2009","Greece","Inland consumption - calculated","Biogases","Terajoule","2 343.000",""
"2009","Greece","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
"2009","Spain","Inland consumption - calculated","Geothermal","Terajoule","572.000",""
"2009","Spain","Inland consumption - calculated","Solar thermal","Terajoule","8 272.054",""
"2009","Spain","Inland consumption - calculated","Primary solid biofuels","Terajoule","197 256.000",""
"2009","Spain","Inland consumption - calculated","Biogases","Terajoule","8 107.000",""
"2009","Spain","Inland consumption - calculated","Renewable municipal waste","Terajoule","13 364.000",""
"2009","France","Inland consumption - calculated","Geothermal","Terajoule","6 616.379",""
"2009","France","Inland consumption - calculated","Solar thermal","Terajoule","2 412.000",""
