freq;nrg_bal;siec;unit;geo\TIME_PERIOD;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
A;FC_E;C0000X0350-0370;KTOE;CZ;3029.748;2438.067;2304.602;2509.179;1886.748;1835.592;1895.449;1852.168;1593.526;1568.218;1557.472;1749.678
A;FC_E;C0350-0370;KTOE;CZ;472.339;435.390;517.641;350.571;335.636;340.969;330.768;312.893;323.565;311.300;303.920;279.359
A;FC_E;E7000;KTOE;CZ;4902.494;4921.238;4989.940;4721.066;4662.339;4613.156;4633.190;4575.838;4575.752;4684.179;4802.408;4929.973
A;FC_E;G3000;KTOE;CZ;6147.485;5876.612;5845.959;5439.080;6088.414;5508.362;5386.887;5366.982;4806.750;5024.183;5283.964;5529.428
A;FC_E;H8000;KTOE;CZ;2313.509;2273.479;2228.790;2071.463;2425.671;2288.000;2322.108;2282.029;2010.103;2030.978;2105.283;2131.728
A;FC_E;N900H;KTOE;CZ;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z
A;FC_E;O4000XBIO;KTOE;CZ;6575.813;6861.904;6765.233;6546.576;6267.558;6168.313;6057.408;5893.374;6153.849;6420.255;6484.703;6633.269
A;FC_E;P1000;KTOE;CZ;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;RA000;KTOE;CZ;1744.912;1826.206;1962.053;2154.811;2295.678;2418.030;2522.237;2667.984;2765.940;2818.052;2888.599;2911.540
A;FC_E;S2000;KTOE;CZ;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;TOTAL;KTOE;CZ;25310.237;24775.845;24763.641;23950.743;24123.216;23336.772;23316.958;23114.925;22426.342;23078.719;23672.623;24406.123
A;FC_E;W6100_6220;KTOE;CZ;123.937;142.949;149.422;157.997;161.173;164.350;168.912;163.657;196.857;221.553;246.274;241.147
A;FC_E;C0000X0350-0370;KTOE;DE;4798.070;4590.650;4154.426;3727.847;4375.215;4880.797;4341.927;4318.156;4077.775;4749.252;4630.137;4547.885
A;FC_E;C0350-0370;KTOE;DE;2573.710;2179.650;2368.821;1850.623;2437.805;2565.234;2526.020;2347.516;2333.453;2462.038;2234.898;2194.760
A;FC_E;E7000;KTOE;DE;45397.248;45516.423;45363.199;42756.578;45780.224;45188.822;45213.586;44987.188;44095.873;44258.899;44486.414;44622.442
A;FC_E;G3000;KTOE;DE;53538.629;51279.858;52595.830;48910.985;53992.820;48190.585;50299.979;52844.948;47428.697;49302.236;52415.864;52771.614
A;FC_E;H8000;KTOE;DE;10741.354;10202.804;10414.636;10213.337;11267.961;10035.875;10249.833;10385.497;9150.091;9594.416;9781.671;9806.965
A;FC_E;N900H;KTOE;DE;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z
A;FC_E;O4000XBIO;KTOE;DE;82824.421;71231.694;78408.675;74578.218;74946.562;72300.378;72565.750;75296.175;73692.485;73037.098;73583.510;73663.022
A;FC_E;P1000;KTOE;DE;1.600;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;RA000;KTOE;DE;10591.017;11537.484;10155.565;10973.717;12671.337;12161.498;12285.016;12558.514;13225.754;13962.023;14269.493;15870.996
A;FC_E;S2000;KTOE;DE;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;TOTAL;KTOE;DE;210776.286;197039.734;204361.744;194003.663;206425.205;196229.513;198382.320;203743.918;195021.898;198392.187;202534.404;204604.367
A;FC_E;W6100_6220;KTOE;DE;310.237;501.170;900.592;992.357;953.282;906.325;900.210;1005.923;1017.770;1026.225;1132.416;1126.684
A;FC_E;C0000X0350-0370;KTOE;DK;265.812;260.940;214.886;124.256;137.483;145.340;115.252;130.365;126.347;117.773;114.079;119.505
A;FC_E;C0350-0370;KTOE;DK;11.436;10.232;10.254;11.522;12.532;12.726;12.640;14.553;15.563;15.701;16.853;14.075
A;FC_E;E7000;KTOE;DK;2905.073;2878.418;2848.065;2703.783;2756.492;2722.184;2681.083;2674.635;2646.174;2652.497;2674.595;2691.305
A;FC_E;G3000;KTOE;DK;1697.893;1628.074;1626.763;1571.496;1733.985;1578.246;1567.756;1565.370;1429.626;1437.251;1502.700;1509.501
A;FC_E;H8000;KTOE;DK;2406.062;2345.371;2396.795;2450.989;2839.997;2505.780;2572.657;2547.650;2315.181;2464.189;2551.320;2565.893
A;FC_E;N900H;KTOE;DK;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z
A;FC_E;O4000XBIO;KTOE;DK;6478.753;6518.355;6319.625;5951.801;5941.072;5699.802;5118.877;4966.187;4853.824;4955.719;5058.083;5096.351
A;FC_E;P1000;KTOE;DK;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;RA000;KTOE;DK;1110.805;1275.964;1309.585;1306.026;1402.860;1425.704;1460.305;1464.986;1449.947;1680.132;1768.910;1841.517
A;FC_E;S2000;KTOE;DK;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;TOTAL;KTOE;DK;14901.512;14940.069;14752.388;14142.444;14846.897;14113.571;13550.043;13385.050;12860.737;13342.372;13707.336;13861.642
A;FC_E;W6100_6220;KTOE;DK;25.676;22.714;26.416;22.571;22.475;23.789;21.472;21.305;24.076;19.110;20.796;23.496
A;FC_E;C0000X0350-0370;KTOE;EA19;11941.656;12779.142;11935.683;9688.316;10309.423;10761.450;9657.037;9097.726;8762.998;9192.259;9238.090;9026.281
A;FC_E;C0350-0370;KTOE;EA19;4519.317;4102.579;4238.388;3284.499;4125.145;4196.597;4249.280;4010.786;4073.446;4153.955;4008.420;3915.585
A;FC_E;E7000;KTOE;EA19;175359.420;176658.733;177337.367;168289.738;176636.791;173603.297;174139.793;172652.926;168215.447;170783.465;172496.193;173394.233
A;FC_E;G3000;KTOE;EA19;184293.888;176775.018;179970.317;169980.757;185982.310;167712.014;173536.213;178723.968;157454.203;163461.520;169570.846;170965.042
A;FC_E;H8000;KTOE;EA19;30370.341;28858.855;29490.057;28719.663;30880.474;28519.671;29223.897;29442.480;27385.762;27524.275;28720.342;29120.284
A;FC_E;O4000XBIO;KTOE;EA19;344633.984;329503.433;329864.001;312188.162;308205.211;296822.878;285994.630;284548.578;279172.005;282461.241;284008.525;282580.931
A;FC_E;P1000;KTOE;EA19;633.902;630.627;628.758;554.869;587.109;558.783;505.276;476.638;471.062;447.564;432.903;417.476
A;FC_E;RA000;KTOE;EA19;44634.280;49555.627;51746.483;54611.142;58400.991;54137.729;58669.856;59511.002;58612.353;61491.605;62755.543;69761.772
A;FC_E;S2000;KTOE;EA19;58.410;80.693;76.089;41.774;40.986;72.999;50.182;40.986;32.872;15.356;9.306;19.062
A;FC_E;TOTAL;KTOE;EA19;797417.643;780094.057;786896.264;749102.174;777089.427;738385.479;738025.894;740829.435;706531.719;721928.438;733787.390;741689.770
A;FC_E;W6100_6220;KTOE;EA19;972.443;1149.342;1609.128;1743.252;1920.995;2000.064;1999.731;2324.341;2351.573;2397.198;2547.222;2489.106
A;FC_E;C0000X0350-0370;KTOE;EE;42.808;82.373;82.373;55.140;37.625;44.904;40.999;39.716;47.994;16.860;17.509;21.066
A;FC_E;C0350-0370;KTOE;EE;0;8.684;20.464;0;0;0;0;0;0;0;0;0
A;FC_E;E7000;KTOE;EE;558.040;584.265;602.236;571.797;593.981;569.819;600.000;586.414;593.809;589.166;627.601;620.636
A;FC_E;G3000;KTOE;EE;273.495;273.689;232.911;184.050;207.072;203.504;218.143;250.043;223.839;222.420;252.429;235.705
A;FC_E;H8000;KTOE;EE;538.693;520.254;509.100;494.053;531.528;474.778;490.589;466.036;438.951;430.615;472.366;475.877
A;FC_E;N900H;KTOE;EE;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z
A;FC_E;O4000XBIO;KTOE;EE;962.742;1001.292;970.648;863.352;903.557;927.195;945.194;917.632;927.729;959.980;977.337;987.623
A;FC_E;P1000;KTOE;EE;6.867;7.337;9.240;3.439;3.822;5.458;4.720;4.720;4.357;3.267;1.700;0
A;FC_E;RA000;KTOE;EE;404.438;490.948;532.483;517.340;550.468;501.404;482.631;477.740;482.951;484.165;411.226;428.566
A;FC_E;S2000;KTOE;EE;58.410;80.693;76.089;41.774;40.986;72.999;50.182;40.986;32.872;15.356;9.306;19.062
A;FC_E;TOTAL;KTOE;EE;2845.492;3049.536;3035.544;2730.945;2869.038;2800.061;2832.458;2841.207;2769.388;2734.082;2782.561;2805.780
A;FC_E;W6100_6220;KTOE;EE;0;0;0;0;0;0;0;57.920;16.886;12.253;13.089;17.245
A;FC_E;C0000X0350-0370;KTOE;EL;400.949;533.531;396.060;171.582;301.533;216.572;227.248;212.366;232.365;224.437;198.611;195.667
