;freq;nrg_bal;siec;unit;geo\TIME_PERIOD;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
;A;FC_OTH_CP_E;TOTAL;KTOE;FI;2677.858;2677.475;2671.576;2890.166;3100.556;2866.080;3029.771;2907.424;2890.289;2734.995;2877.487;2971.509
;A;FC_OTH_HH_E;TOTAL;KTOE;FI;5121.785;5123.724;5040.793;5299.470;5870.618;5138.582;5492.235;5172.739;5126.204;4951.821;5342.289;5762.752
;A;FC_TRA_E;TOTAL;KTOE;FI;4283.474;4396.970;4259.175;4132.270;4304.869;4300.553;4197.665;4209.858;4111.119;4105.342;4178.092;4194.007
FR;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;FR;148104.159;144262.462;146730.638;142213.649;146311.469;138582.354;143561.684;146209.102;135568.832;138700.012;141229.914;141002.846
;A;FC_IND_E;TOTAL;KTOE;FR;31298.899;32213.063;31703.038;26277.930;27739.013;27815.229;27494.422;27380.343;26381.555;26066.022;26807.799;26538.909
;A;FC_OTH_CP_E;TOTAL;KTOE;FR;20318.067;21247.115;21491.272;22891.215;24102.881;21922.547;23562.454;24284.462;22290.610;23182.596;23450.913;23831.532
;A;FC_OTH_HH_E;TOTAL;KTOE;FR;42393.368;40421.276;44171.668;43977.027;45407.601;38747.048;42736.733;44911.199;37128.837;39242.054;41339.048;40649.219
;A;FC_TRA_E;TOTAL;KTOE;FR;44563.113;44968.910;43878.280;43544.414;43568.598;44634.826;44533.792;44234.364;44463.214;44918.855;45018.667;45359.508
GE;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;3248.490;3625.486;3766.343;4029.368;4044.927
;A;FC_IND_E;TOTAL;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;644.921;677.945;693.166;679.504;758.151
;A;FC_OTH_CP_E;TOTAL;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;338.852;431.765;404.281;435.247;451.667
;A;FC_OTH_HH_E;TOTAL;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;1103.041;1191.459;1207.684;1272.917;1330.944
;A;FC_TRA_E;TOTAL;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;1011.293;1170.835;1287.874;1447.552;1301.539
HR;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;HR;7169.431;7193.721;7297.672;7085.585;7114.487;6860.566;6544.744;6452.842;6118.214;6469.301;6515.750;6776.475
;A;FC_IND_E;TOTAL;KTOE;HR;1623.647;1665.102;1680.259;1413.358;1366.838;1286.279;1137.821;1116.754;1097.794;1090.103;1087.471;1179.516
;A;FC_OTH_CP_E;TOTAL;KTOE;HR;693.422;689.340;731.347;737.521;776.246;763.091;733.422;713.823;675.917;742.934;762.647;800.490
;A;FC_OTH_HH_E;TOTAL;KTOE;HR;2653.716;2521.619;2580.316;2632.193;2755.586;2629.412;2547.055;2478.010;2215.953;2414.978;2393.124;2376.854
;A;FC_TRA_E;TOTAL;KTOE;HR;1954.563;2078.474;2051.038;2052.745;1971.023;1932.673;1896.401;1917.120;1894.427;1990.688;2039.036;2189.046
HU;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;HU;17883.269;16884.828;16868.319;16562.120;16879.616;16917.517;16003.531;16255.431;15832.197;16910.578;17412.194;17975.000
;A;FC_IND_E;TOTAL;KTOE;HU;3117.723;3073.725;3081.380;2424.570;2604.791;2998.149;3182.392;3725.701;3761.514;3948.171;4045.242;4347.213
;A;FC_OTH_CP_E;TOTAL;KTOE;HU;3182.934;2796.982;2741.319;2903.651;3048.640;3053.612;2353.881;2337.107;2114.780;2203.657;2183.456;2155.651
;A;FC_OTH_HH_E;TOTAL;KTOE;HU;6713.445;6117.605;6017.799;6311.473;6648.743;6569.577;6375.847;6209.747;5487.452;5969.813;6156.505;6298.532
;A;FC_TRA_E;TOTAL;KTOE;HU;4318.788;4398.154;4501.063;4480.534;4089.374;3812.948;3692.233;3459.986;3873.295;4181.253;4342.493;4525.751
IE;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;IE;12478.494;12344.780;12424.701;11354.121;11269.218;10252.307;10089.413;10143.965;10082.250;10372.452;10727.460;10741.473
;A;FC_IND_E;TOTAL;KTOE;IE;2761.863;2471.178;2443.172;2105.992;2144.841;2230.683;2192.999;2185.255;2240.356;2385.084;2438.395;2509.525
;A;FC_OTH_CP_E;TOTAL;KTOE;IE;1570.424;1673.413;1779.481;1569.667;1498.094;1310.191;1310.188;1279.768;1212.670;1257.135;1320.071;1373.507
;A;FC_OTH_HH_E;TOTAL;KTOE;IE;3077.171;2951.642;3197.173;3136.005;3288.719;2760.442;2735.426;2794.675;2582.925;2703.475;2660.080;2579.220
;A;FC_TRA_E;TOTAL;KTOE;IE;4705.983;4908.628;4663.871;4240.016;4036.157;3675.444;3583.530;3625.271;3798.681;3785.347;4081.985;4042.982
IS;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;IS;2000.793;2197.049;2536.431;2563.602;2517.495;2521.164;2600.490;2706.783;2739.760;2848.968;2985.402;2971.141
;A;FC_IND_E;TOTAL;KTOE;IS;816.502;958.277;1299.751;1307.810;1299.919;1324.183;1359.322;1424.410;1442.055;1460.048;1444.185;1500.751
;A;FC_OTH_CP_E;TOTAL;KTOE;IS;278.356;291.982;306.585;303.427;302.565;301.744;324.883;333.381;363.777;396.585;453.659;399.349
;A;FC_OTH_HH_E;TOTAL;KTOE;IS;343.926;359.953;374.955;375.096;377.577;370.818;400.502;399.164;384.786;392.472;474.549;423.601
;A;FC_TRA_E;TOTAL;KTOE;IS;303.736;324.938;308.092;299.921;284.454;275.915;270.221;277.386;278.626;300.891;329.843;357.238
IT;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;IT;129777.938;129036.364;129077.145;121907.849;123052.729;117518.026;116559.044;114053.675;108848.350;112108.171;111554.603;113611.222
;A;FC_IND_E;TOTAL;KTOE;IT;36144.577;35907.652;34528.295;28552.887;29014.718;27744.858;26948.704;25353.587;24739.085;24853.372;25088.949;24925.749
;A;FC_OTH_CP_E;TOTAL;KTOE;IT;15568.845;15181.676;17019.079;16919.464;16978.719;15751.376;15930.534;15846.527;14666.679;15391.466;15439.966;18242.166
;A;FC_OTH_HH_E;TOTAL;KTOE;IT;32423.683;32339.575;33611.748;34040.636;35392.911;32378.063;34348.336;34230.620;29545.980;32494.483;32185.101;32898.647
;A;FC_TRA_E;TOTAL;KTOE;IT;42216.674;42314.794;40707.409;39131.363;38566.288;38572.097;36348.734;35701.272;37009.372;36374.374;35814.501;34525.408
LT;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;LT;4876.232;5146.091;5054.249;4606.207;4757.259;4728.244;4838.968;4712.305;4800.537;4779.510;5003.215;5241.196
;A;FC_IND_E;TOTAL;KTOE;LT;1088.041;1116.536;1010.085;872.141;949.629;1013.346;1071.759;1037.327;1033.722;982.755;988.969;1070.923
;A;FC_OTH_CP_E;TOTAL;KTOE;LT;607.527;629.697;604.183;590.787;600.700;583.961;610.064;593.023;585.668;574.923;602.552;633.866
;A;FC_OTH_HH_E;TOTAL;KTOE;LT;1568.999;1503.571;1551.803;1568.648;1593.216;1532.207;1534.798;1467.198;1400.900;1359.131;1433.211;1455.372
;A;FC_TRA_E;TOTAL;KTOE;LT;1493.684;1771.228;1768.062;1465.602;1497.054;1483.642;1508.424;1502.068;1662.623;1750.186;1864.513;1962.146
LU;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;LU;4005.752;3907.473;3945.254;3659.659;3897.203;3889.126;3798.659;3749.109;3599.435;3537.092;3538.289;3614.809
;A;FC_IND_E;TOTAL;KTOE;LU;849.333;807.232;786.682;675.083;754.673;725.432;679.231;646.728;656.965;645.726;674.059;641.979
;A;FC_OTH_CP_E;TOTAL;KTOE;LU;367.781;368.196;386.466;375.890;424.139;352.576;396.526;411.200;361.386;397.470;400.746;455.489
;A;FC_OTH_HH_E;TOTAL;KTOE;LU;516.409;502.277;512.068;518.407;512.977;478.244;491.099;499.204;469.378;510.939;527.365;523.167
;A;FC_TRA_E;TOTAL;KTOE;LU;2248.982;2204.811;2234.175;2060.482;2176.135;2307.877;2206.821;2165.578;2086.355;1957.925;1907.221;1968.236
LV;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;LV;4127.504;4273.946;4056.288;3937.475;4002.237;3751.161;3908.282;3732.245;3776.066;3680.167;3697.446;3875.198
;A;FC_IND_E;TOTAL;KTOE;LV;741.131;722.775;679.176;651.715;773.847;747.755;827.436;767.643;791.158;787.780;748.955;793.357
;A;FC_OTH_CP_E;TOTAL;KTOE;LV;635.797;683.328;609.948;572.964;597.801;556.709;623.331;600.446;608.772;586.308;592.495;608.030
;A;FC_OTH_HH_E;TOTAL;KTOE;LV;1480.648;1457.706;1451.540;1534.586;1388.905;1327.389;1376.240;1267.242;1238.471;1105.582;1143.484;1196.619
;A;FC_TRA_E;TOTAL;KTOE;LV;1112.400;1252.378;1182.956;1038.946;1083.453;964.755;929.636;939.540;982.367;1037.650;1033.562;1080.824
ME;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;ME;770.871;849.413;852.924;724.270;714.626;719.280;698.970;640.991;628.575;662.644;688.401;722.082
;A;FC_IND_E;TOTAL;KTOE;ME;344.448;384.858;385.846;233.276;199.250;226.735;203.208;183.351;133.191;131.817;119.841;132.328
;A;FC_OTH_CP_E;TOTAL;KTOE;ME;6.959;2.860;2.420;3.960;4.627;8.460;8.622;13.741;68.962;70.372;79.326;86.401
;A;FC_OTH_HH_E;TOTAL;KTOE;ME;247.109;245.365;251.124;266.275;274.679;268.887;281.347;269.251;256.273;265.421;264.486;263.078
;A;FC_TRA_E;TOTAL;KTOE;ME;156.399;202.390;202.038;209.464;229.896;213.102;202.848;165.309;162.866;186.645;219.419;235.525
MK;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;MK;1754.384;1854.545;1796.936;1672.720;1789.926;1903.210;1845.693;1814.802;1797.481;1837.589;1847.733;1866.682
;A;FC_IND_E;TOTAL;KTOE;MK;609.703;678.777;648.986;427.237;542.230;633.919;579.083;555.332;517.614;474.779;441.262;383.412
;A;FC_OTH_CP_E;TOTAL;KTOE;MK;224.147;222.759;187.531;241.709;233.908;206.178;228.654;201.851;196.034;211.872;212.934;220.938
;A;FC_OTH_HH_E;TOTAL;KTOE;MK;545.781;533.907;530.939;549.169;538.208;567.027;559.010;519.019;523.579;531.060;491.613;529.301
;A;FC_TRA_E;TOTAL;KTOE;MK;344.250;395.263;404.894;434.746;454.289;475.330;453.275;514.739;537.470;596.422;679.961;709.381
MT;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;MT;376.932;386.868;404.619;362.496;401.350;388.461;407.257;421.128;434.694;459.434;460.174;495.250
;A;FC_IND_E;TOTAL;KTOE;MT;55.484;57.395;59.802;51.930;44.120;39.867;43.762;42.896;45.053;45.824;44.517;57.210
;A;FC_OTH_CP_E;TOTAL;KTOE;MT;72.356;76.306;75.189;70.632;92.080;88.007;100.415;108.942;120.245;126.366;124.387;126.369
;A;FC_OTH_HH_E;TOTAL;KTOE;MT;73.039;70.808;70.789;64.393;69.245;68.760;72.178;71.802;71.707;79.794;81.757;94.224
