freq;nrg_bal;siec;unit;geo\TIME_PERIOD;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
A;NRGSUP;C0000X0350-0370;KTOE;ES;17911.155;20040.491;13506.628;9665.228;7281.087;12716.137;15518.743;11447.726;11568.180;13583.196;10797.607;12747.244
A;NRGSUP;C0350-0370;KTOE;ES;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;E7000;KTOE;ES;-282.029;-494.497;-949.183;-696.819;-716.509;-523.732;-962.941;-580.482;-292.863;-11.436;659.243;788.392
A;NRGSUP;G3000;KTOE;ES;31233.319;31783.641;34909.695;31225.021;31129.342;28935.985;28574.377;26162.876;23666.294;24538.113;25039.725;27266.402
A;NRGSUP;H8000;KTOE;ES;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;N900H;KTOE;ES;15509.716;14214.015;15212.296;13783.000;16134.800;15044.700;15990.500;14785.000;14931.100;14903.200;15272.900;15131.500
A;NRGSUP;O4000XBIO;KTOE;ES;67700.673;68044.770;65124.150;60482.368;58260.808;54864.486;50306.036;47681.406;46725.580;49086.250;50550.481;53295.304
A;NRGSUP;P1000;KTOE;ES;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;RA000;KTOE;ES;9164.457;10008.000;10552.278;12569.310;15047.394;14830.335;16135.151;17744.075;18099.988;17030.633;17947.949;17078.040
A;NRGSUP;S2000;KTOE;ES;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;TOTAL;KTOE;ES;141489.416;143905.607;138683.919;127347.302;127311.113;126062.953;125737.537;117440.325;114902.468;119381.962;120503.144;126566.543
A;NRGSUP;W6100_6220;KTOE;ES;252.126;309.186;328.055;319.194;174.190;195.042;175.671;199.723;204.189;252.006;235.239;259.661
A;NRGSUP;C0000X0350-0370;KTOE;EU28;322933.777;322046.144;297451.618;260825.923;276946.649;281411.359;288106.351;281776.772;262197.928;258427.002;236841.581;228385.587
A;NRGSUP;C0350-0370;KTOE;EU28;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;E7000;KTOE;EU28;685.323;1360.144;1984.205;1732.065;650.076;618.178;1603.579;1084.322;1332.551;1240.795;1581.235;876.967
A;NRGSUP;G3000;KTOE;EU28;440186.279;434952.237;444129.368;415741.852;447604.356;403821.839;393755.455;387119.813;343450.840;357904.093;382739.809;398384.121
A;NRGSUP;H8000;KTOE;EU28;-5.017;-4.491;-4.849;-4.204;-4.323;-3.918;-3.869;-1.362;644;827;744;1.253
A;NRGSUP;N900H;KTOE;EU28;255812.278;241713.687;242210.161;228316.479;234583.000;232007.800;224539.200;223007.700;223610.700;220091.600;213520.900;210724.200
A;NRGSUP;O4000XBIO;KTOE;EU28;636323.691;614089.559;608950.184;574191.243;570402.685;550574.411;528275.193;513388.490;510152.926;517932.608;522133.929;530894.268
A;NRGSUP;P1000;KTOE;EU28;3318.004;3634.728;3466.408;3264.794;3346.877;3154.950;3008.270;2061.959;2344.610;2343.384;2332.855;2173.865
A;NRGSUP;RA000;KTOE;EU28;129636.830;139467.704;150043.182;159218.648;176703.280;175492.403;193033.335;204406.104;208437.855;217384.511;222860.487;233475.725
A;NRGSUP;S2000;KTOE;EU28;2972.478;3600.433;3328.545;2902.264;3843.341;3983.689;3652.752;4354.708;4157.662;3770.846;4201.058;4201.820
A;NRGSUP;TOTAL;KTOE;EU28;1800356.787;1769877.403;1761410.835;1656662.105;1725111.251;1662668.842;1647820.545;1629375.745;1568627.781;1592466.558;1600855.441;1623766.137
A;NRGSUP;W6100_6220;KTOE;EU28;8493.138;9017.257;9852.014;10473.040;11035.307;11608.128;11850.279;12177.241;12942.068;13370.894;14642.849;14648.330
A;NRGSUP;C0000X0350-0370;KTOE;FI;5092.961;4749.857;3366.698;3535.801;4586.783;3948.281;2994.989;3787.742;3070.445;2702.357;3167.676;2840.618
A;NRGSUP;C0350-0370;KTOE;FI;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;E7000;KTOE;FI;980.310;1079.708;1098.194;1039.123;902.923;1191.058;1499.914;1351.247;1544.884;1404.729;1629.493;1756.234
A;NRGSUP;G3000;KTOE;FI;3885.254;3731.363;3862.253;3483.749;3837.102;3359.931;3005.095;2856.427;2513.199;2236.264;2058.727;1932.158
A;NRGSUP;H8000;KTOE;FI;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;N900H;KTOE;FI;5908.684;6042.046;5922.098;5762.000;5565.000;5627.000;5536.000;5694.000;5688.500;5606.200;5589.800;5390.100
A;NRGSUP;O4000XBIO;KTOE;FI;10457.982;9942.077;9723.639;9250.142;9504.030;9288.338;8685.524;7721.584;8809.431;7777.643;8466.628;7969.733
A;NRGSUP;P1000;KTOE;FI;2239.462;2456.005;2013.257;1765.973;2290.847;2030.255;1557.753;1350.351;1426.776;1385.064;1345.987;1283.407
A;NRGSUP;RA000;KTOE;FI;8690.713;8656.948;9140.779;8051.588;9352.265;9144.247;9991.251;9912.055;10302.908;10490.816;10635.004;11774.333
A;NRGSUP;S2000;KTOE;FI;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;TOTAL;KTOE;FI;37350.927;36756.767;35243.309;33033.020;36185.101;34733.612;33454.389;32882.588;33592.408;31842.397;33156.596;33236.160
A;NRGSUP;W6100_6220;KTOE;FI;95.562;98.763;116.390;144.645;146.150;144.502;183.864;209.181;236.266;239.324;263.280;289.577
A;NRGSUP;C0000X0350-0370;KTOE;FR;13054.791;13495.056;12761.059;11116.820;11962.119;11300.019;12552.809;13267.669;9875.708;9346.069;9127.385;9910.947
A;NRGSUP;C0350-0370;KTOE;FR;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;E7000;KTOE;FR;-5446.346;-4885.039;-4126.225;-2229.923;-2640.843;-4850.645;-3828.117;-4166.896;-5777.300;-5508.426;-3568.444;-3449.183
A;NRGSUP;G3000;KTOE;FR;39622.141;38487.468;39885.168;38461.801;42617.756;36989.712;38215.215;38816.125;32595.314;35040.210;38288.856;38491.573
A;NRGSUP;H8000;KTOE;FR;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;N900H;KTOE;FR;116128.375;113429.923;113356.922;106857.000;111612.000;115209.000;110863.000;110414.000;113747.000;113996.000;105078.000;103860.000
A;NRGSUP;O4000XBIO;KTOE;FR;87385.122;85941.819;83644.700;80782.154;77072.375;78948.226;76610.222;74797.726;74172.245;74882.207;72375.763;72650.206
A;NRGSUP;P1000;KTOE;FR;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;RA000;KTOE;FR;15733.783;17179.998;19518.949;19909.923;22317.340;19455.169;22953.109;25517.682;23796.968;24608.484;26825.438;26586.972
A;NRGSUP;S2000;KTOE;FR;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;TOTAL;KTOE;FR;267499.649;264754.971;266197.224;256133.201;264191.956;258260.091;258689.997;259990.835;249757.536;253779.018;249607.482;249541.904
A;NRGSUP;W6100_6220;KTOE;FR;1021.783;1105.746;1156.652;1235.426;1251.209;1208.609;1323.759;1344.528;1347.600;1414.473;1480.485;1491.390
A;NRGSUP;C0000X0350-0370;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;315.223;290.868;271.769;261.649;291.568
A;NRGSUP;C0350-0370;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;0;0;0;0;0
A;NRGSUP;E7000;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;2.923;21.410;3.353;-6.879;69.776
A;NRGSUP;G3000;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;1387.661;1833.878;2016.466;1890.864;1959.409
A;NRGSUP;H8000;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;0;0;0;0;0
A;NRGSUP;N900H;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;0;0;0;0;0
A;NRGSUP;O4000XBIO;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;983.904;1045.581;1196.785;1432.212;1294.196
A;NRGSUP;P1000;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;0;0;0;0;0
A;NRGSUP;RA000;KTOE;GE;: ;: ;: ;: ;: ;: ;: ;1207.756;1198.558;1143.583;1209.723;1183.551
